sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_1_000001,K-35-51-B-a,0.8,4,5,18.5243,0.316,2.91,0.707,6.51,hit
train_K-35-51-B-a_1_000002,K-35-51-B-a,0.5,5,7,35.0068,29.283,269.67,0.447,4.12,hit
train_K-35-51-B-a_1_000003,K-35-51-B-a,0.142857,7,1,1.1113,1.04,9.58,1.04,9.58,hit
train_K-35-51-B-a_1_000004,K-35-51-B-a,0.5,6,3,11.3406,0.373,3.43,0.5,4.6,hit
train_K-35-51-B-a_1_000005,K-35-51-B-a,0.333333,4,4,21.7753,1.031,9.49,0.707,6.51,hit
train_K-35-51-B-a_1_000006,K-35-51-B-a,0.571429,4,7,15.6425,0.226,2.08,0.707,6.51,hit
train_K-35-51-B-a_1_000007,K-35-51-B-a,0.5,4,5,34.2331,0.403,3.71,0.75,6.91,hit
train_K-35-51-B-a_1_000008,K-35-51-B-a,0.428571,7,3,17.3143,0.471,4.34,1.0,9.21,hit
train_K-35-51-B-a_1_000009,K-35-51-B-a,0.666667,6,4,26.9219,0.25,2.3,0.5,4.6,hit
train_K-35-51-B-a_1_000010,K-35-51-B-a,0.375,6,5,14.4887,0.608,5.6,0.5,4.6,hit
train_K-35-51-B-a_1_000011,K-35-51-B-a,0.4,5,2,27.4235,0.5,4.6,0.447,4.12,hit
train_K-35-51-B-a_1_000012,K-35-51-B-a,0.5,6,6,13.6126,0.167,1.53,1.5,13.81,hit
train_K-35-51-B-a_1_000013,K-35-51-B-a,0.285714,6,3,10.7516,0.373,3.43,1.118,10.3,hit
train_K-35-51-B-a_1_000014,K-35-51-B-a,0.0,3,0,-4.2452,,,3.399,31.3,near_miss
train_K-35-51-B-a_1_000015,K-35-51-B-a,0.166667,6,1,11.5707,0.236,2.17,0.236,2.17,hit
train_K-35-51-B-a_1_000016,K-35-51-B-a,0.6,4,4,31.5545,0.559,5.15,0.707,6.51,hit
train_K-35-51-B-a_1_000017,K-35-51-B-a,0.222222,6,5,16.0081,0.3,2.76,1.118,10.3,hit
train_K-35-51-B-a_1_000018,K-35-51-B-a,0.375,4,7,15.8987,1.821,16.77,3.536,32.56,hit
