sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_1_000001,K-35-51-B-a,0.887218,120,131,97.6367,0.531,1.06,1.154,2.31,hit
train_K-35-51-B-a_1_000002,K-35-51-B-a,0.791045,111,129,70.2697,0.169,0.34,1.73,3.46,hit
train_K-35-51-B-a_1_000003,K-35-51-B-a,0.727891,145,109,82.1485,0.445,0.89,1.911,3.82,hit
train_K-35-51-B-a_1_000004,K-35-51-B-a,0.87156,103,101,87.1613,0.09,0.18,0.62,1.24,hit
train_K-35-51-B-a_1_000005,K-35-51-B-a,0.76,83,93,105.1401,0.634,1.27,2.897,5.79,hit
train_K-35-51-B-a_1_000006,K-35-51-B-a,0.765766,89,107,92.5694,0.749,1.5,1.536,3.07,hit
train_K-35-51-B-a_1_000007,K-35-51-B-a,0.934579,103,104,95.8448,0.282,0.56,2.471,4.94,hit
train_K-35-51-B-a_1_000008,K-35-51-B-a,0.766667,133,132,92.5255,0.499,1.0,1.97,3.94,hit
train_K-35-51-B-a_1_000009,K-35-51-B-a,0.863158,88,89,92.0231,0.16,0.32,0.867,1.73,hit
train_K-35-51-B-a_1_000010,K-35-51-B-a,0.795455,126,111,88.7453,0.403,0.81,3.641,7.28,hit
train_K-35-51-B-a_1_000011,K-35-51-B-a,0.92233,98,100,103.5417,0.323,0.65,1.343,2.69,hit
train_K-35-51-B-a_1_000012,K-35-51-B-a,0.873239,131,135,102.4555,0.344,0.69,3.102,6.2,hit
train_K-35-51-B-a_1_000013,K-35-51-B-a,0.849558,102,107,96.7958,0.66,1.32,1.704,3.41,hit
train_K-35-51-B-a_1_000014,K-35-51-B-a,0.884956,100,113,83.2884,0.166,0.33,0.544,1.09,hit
train_K-35-51-B-a_1_000015,K-35-51-B-a,0.861111,107,94,95.2827,0.295,0.59,1.094,2.19,hit
train_K-35-51-B-a_1_000016,K-35-51-B-a,0.842593,103,96,107.8599,0.249,0.5,1.251,2.5,hit
train_K-35-51-B-a_1_000017,K-35-51-B-a,0.787037,86,107,94.8609,0.679,1.36,1.047,2.09,hit
train_K-35-51-B-a_1_000018,K-35-51-B-a,0.768,97,124,76.6257,0.579,1.16,1.438,2.88,hit
train_K-35-51-B-a_1_000019,K-35-51-B-a,0.448598,58,97,73.8003,2.6,5.2,2.642,5.28,hit
train_K-35-51-B-a_1_000020,K-35-51-B-a,0.539604,118,193,82.6552,2.53,5.06,5.226,10.45,hit
train_K-35-51-B-a_1_000021,K-35-51-B-a,0.848214,99,108,94.6655,0.331,0.66,1.965,3.93,hit
train_K-35-51-B-a_1_000022,K-35-51-B-a,0.745614,97,102,105.9521,1.18,2.36,1.206,2.41,hit
train_K-35-51-B-a_1_000023,K-35-51-B-a,0.736,93,124,97.2268,0.371,0.74,1.616,3.23,hit
train_K-35-51-B-a_1_000024,K-35-51-B-a,0.722222,92,125,103.6307,0.239,0.48,1.972,3.94,hit
train_K-35-51-B-a_1_000025,K-35-51-B-a,0.866071,101,108,75.8874,0.563,1.13,2.172,4.34,hit
train_K-35-51-B-a_2_000001,K-35-51-B-a,0.845455,110,93,91.9568,0.238,0.48,1.662,3.32,hit
train_K-35-51-B-a_2_000002,K-35-51-B-a,0.862069,110,106,106.8326,0.593,1.19,0.255,0.51,hit
train_K-35-51-B-a_2_000003,K-35-51-B-a,0.733333,91,91,88.8499,1.131,2.26,1.011,2.02,hit
train_K-35-51-B-a_2_000004,K-35-51-B-a,0.790514,206,247,85.0924,0.651,1.3,5.679,11.36,hit
train_K-35-51-B-a_2_000005,K-35-51-B-a,0.788732,136,118,71.1557,0.785,1.57,2.372,4.74,hit
train_K-35-51-B-a_2_000006,K-35-51-B-a,0.596774,50,49,62.7712,0.47,0.94,1.744,3.49,hit
train_K-35-51-B-a_2_000007,K-35-51-B-a,0.753731,109,126,83.1757,0.925,1.85,2.907,5.81,hit
train_K-35-51-B-a_2_000008,K-35-51-B-a,0.772358,96,122,79.4701,0.204,0.41,1.306,2.61,hit
train_K-35-51-B-a_2_000009,K-35-51-B-a,0.813084,91,103,97.0254,0.902,1.8,2.043,4.09,hit
train_K-35-51-B-a_2_000010,K-35-51-B-a,0.877358,97,102,125.7977,0.276,0.55,1.932,3.86,hit
train_K-35-51-B-a_2_000011,K-35-51-B-a,0.814516,115,110,108.96,0.897,1.79,2.204,4.41,hit
train_K-35-51-B-a_3_000001,K-35-51-B-a,0.566474,98,173,70.2411,1.007,2.01,1.671,3.34,hit
train_K-35-51-B-a_3_000002,K-35-51-B-a,0.844037,95,106,76.9938,0.505,1.01,1.111,2.22,hit
train_K-35-51-B-a_3_000003,K-35-51-B-a,0.786207,122,137,79.1575,0.888,1.78,3.125,6.25,hit
train_K-35-51-B-a_3_000004,K-35-51-B-a,0.809859,124,133,107.643,0.822,1.64,2.211,4.42,hit
train_K-35-51-B-a_3_000005,K-35-51-B-a,0.737705,112,100,87.7433,1.146,2.29,2.74,5.48,hit
train_K-35-51-B-a_3_000006,K-35-51-B-a,0.8125,54,62,100.2156,0.602,1.2,2.467,4.93,hit
train_K-35-51-B-a_3_000007,K-35-51-B-a,0.731884,133,106,82.8738,0.98,1.96,0.99,1.98,hit
train_K-35-51-B-a_3_000008,K-35-51-B-a,0.840336,111,108,90.9041,0.625,1.25,1.001,2.0,hit
train_K-35-51-B-a_3_000009,K-35-51-B-a,0.778947,95,74,68.9933,0.369,0.74,3.804,7.61,hit
train_K-35-51-B-a_3_000010,K-35-51-B-a,0.733871,124,91,55.849,0.429,0.86,1.713,3.43,hit
train_K-35-51-B-a_3_000011,K-35-51-B-a,0.52349,173,281,66.9157,0.976,1.95,2.845,5.69,hit
train_K-35-51-B-a_3_000012,K-35-51-B-a,0.917526,92,94,84.9608,0.372,0.74,0.409,0.82,hit
train_K-35-51-B-a_3_000013,K-35-51-B-a,0.664804,137,161,67.0788,0.53,1.06,1.267,2.53,hit
train_K-35-51-B-a_3_000014,K-35-51-B-a,0.822785,206,226,83.863,0.675,1.35,5.185,10.37,hit
