arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
fulltile,full_tile,True,0,none,34,253.90588235294115,479.0470588235294,0.6020657352941177,0.7058823529411765,0.0,0.0
fulltile,full_tile,True,5,E,34,249.09411764705885,479.0470588235294,0.6091493823529412,0.8235294117647058,0.0,0.0
fulltile,full_tile,True,5,NE,34,225.1588235294118,479.0470588235294,0.6464976176470588,0.8529411764705882,0.0,0.0
fulltile,full_tile,True,5,N,34,234.75,479.0470588235294,0.6464985588235295,0.8529411764705882,0.0,0.0
fulltile,full_tile,True,5,NW,34,275.4676470588235,479.0470588235294,0.6041081764705882,0.7647058823529411,0.0,0.0
fulltile,full_tile,True,5,W,34,311.38529411764705,479.0470588235294,0.5510354705882353,0.6764705882352942,0.0,0.0
fulltile,full_tile,True,5,SW,34,352.1029411764706,479.0470588235294,0.48733964705882354,0.47058823529411764,0.0,0.0
fulltile,full_tile,True,5,S,34,335.33529411764704,479.0470588235294,0.4976250588235294,0.5294117647058824,0.0,0.0
fulltile,full_tile,True,5,SE,34,316.1705882352941,479.0470588235294,0.5165785588235294,0.7058823529411765,0.0,0.0
fulltile,full_tile,True,10,E,34,320.9529411764706,479.0470588235294,0.5132011764705883,0.6176470588235294,0.029411764705882353,0.0
fulltile,full_tile,True,10,NE,34,258.69705882352946,479.0470588235294,0.6070292647058824,0.7647058823529411,0.0,0.0
fulltile,full_tile,True,10,N,34,285.0764705882353,479.0470588235294,0.5949302647058824,0.7352941176470589,0.0,0.0
fulltile,full_tile,True,10,NW,34,340.1558823529412,479.0470588235294,0.5478480882352941,0.6764705882352942,0.0,0.0
fulltile,full_tile,True,10,W,34,404.79411764705884,479.0470588235294,0.44865552941176473,0.5,0.029411764705882353,0.0
fulltile,full_tile,True,10,SW,34,452.68823529411765,479.0470588235294,0.3875041470588235,0.38235294117647056,0.11764705882352941,0.029411764705882353
fulltile,full_tile,True,10,S,34,445.47941176470584,479.0470588235294,0.3614458235294118,0.29411764705882354,0.14705882352941177,0.029411764705882353
fulltile,full_tile,True,10,SE,34,411.9676470588235,479.0470588235294,0.3983137352941176,0.4411764705882353,0.08823529411764706,0.0
fulltile,full_tile,True,15,E,34,423.9235294117647,479.0470588235294,0.41456279411764707,0.4411764705882353,0.08823529411764706,0.0
fulltile,full_tile,True,15,NE,34,340.1382352941177,479.0470588235294,0.5195366470588235,0.6176470588235294,0.0,0.0
fulltile,full_tile,True,15,N,34,361.7470588235294,479.0470588235294,0.5085938235294118,0.5588235294117647,0.0,0.0
fulltile,full_tile,True,15,NW,34,476.7088235294118,479.0470588235294,0.4141890294117647,0.35294117647058826,0.058823529411764705,0.0
fulltile,full_tile,True,15,W,34,589.25,479.0470588235294,0.27110608823529414,0.14705882352941177,0.11764705882352941,0.029411764705882353
fulltile,full_tile,True,15,SW,34,560.4617647058824,479.0470588235294,0.25015835294117644,0.17647058823529413,0.3235294117647059,0.11764705882352941
fulltile,full_tile,True,15,S,34,560.4441176470588,479.0470588235294,0.2409347941176471,0.23529411764705882,0.2647058823529412,0.08823529411764706
fulltile,full_tile,True,15,SE,34,519.714705882353,479.0470588235294,0.3006571176470588,0.20588235294117646,0.20588235294117646,0.029411764705882353
fulltile,full_tile,True,25,E,34,735.3205882352942,479.0470588235294,0.12838511764705882,0.058823529411764705,0.5588235294117647,0.0
fulltile,full_tile,True,25,NE,34,596.4323529411765,479.0470588235294,0.2954926176470588,0.2647058823529412,0.17647058823529413,0.0
fulltile,full_tile,True,25,N,34,596.464705882353,479.0470588235294,0.23811258823529413,0.08823529411764706,0.14705882352941177,0.0
fulltile,full_tile,True,25,NW,34,697.064705882353,479.0470588235294,0.13723320588235294,0.058823529411764705,0.4117647058823529,0.0
fulltile,full_tile,True,25,W,34,819.214705882353,479.0470588235294,0.01950685294117647,0.0,0.8235294117647058,0.029411764705882353
fulltile,full_tile,True,25,SW,34,723.3529411764706,479.0470588235294,0.04301088235294118,0.0,0.8235294117647058,0.08823529411764706
fulltile,full_tile,True,25,S,34,740.1029411764706,479.0470588235294,0.04553623529411765,0.0,0.7941176470588235,0.058823529411764705
fulltile,full_tile,True,25,SE,34,711.3617647058824,479.0470588235294,0.07054364705882353,0.029411764705882353,0.7352941176470589,0.029411764705882353
fulltile,full_tile,True,50,E,34,862.2941176470588,479.0470588235294,0.003676470588235294,0.0,0.9705882352941176,0.0
fulltile,full_tile,True,50,NE,34,783.2058823529412,479.0470588235294,0.0058823529411764705,0.0,0.9705882352941176,0.029411764705882353
fulltile,full_tile,True,50,N,34,761.6970588235295,479.0470588235294,0.0,0.0,1.0,0.17647058823529413
fulltile,full_tile,True,50,NW,34,720.964705882353,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,50,W,34,792.864705882353,479.0470588235294,0.0,0.0,1.0,0.08823529411764706
fulltile,full_tile,True,50,SW,34,735.3441176470589,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,50,S,34,754.5235294117647,479.0470588235294,0.0,0.0,1.0,0.08823529411764706
fulltile,full_tile,True,50,SE,34,725.7735294117647,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
fulltile,full_tile,True,100,E,34,742.5,479.0470588235294,0.0,0.0,1.0,0.0
fulltile,full_tile,True,100,NE,34,677.8735294117647,479.0470588235294,0.0,0.0,1.0,0.17647058823529413
fulltile,full_tile,True,100,N,34,699.4264705882352,479.0470588235294,0.0,0.0,1.0,0.23529411764705882
fulltile,full_tile,True,100,NW,34,694.6294117647059,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
fulltile,full_tile,True,100,W,34,687.4294117647058,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,100,SW,34,697.0029411764706,479.0470588235294,0.0,0.0,1.0,0.08823529411764706
fulltile,full_tile,True,100,S,34,697.0529411764705,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,100,SE,34,737.7235294117646,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
fulltile,full_tile,True,200,E,34,668.2529411764706,479.0470588235294,0.0,0.0,1.0,0.23529411764705882
fulltile,full_tile,True,200,NE,34,687.4088235294118,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,200,N,34,668.2823529411764,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,200,NW,34,668.2676470588235,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
fulltile,full_tile,True,200,W,34,658.6999999999999,479.0470588235294,0.0,0.0,1.0,0.29411764705882354
fulltile,full_tile,True,200,SW,34,644.3264705882352,479.0470588235294,0.0,0.0,1.0,0.20588235294117646
fulltile,full_tile,True,200,S,34,706.5882352941177,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,200,SE,34,632.3294117647059,479.0470588235294,0.0,0.0,1.0,0.20588235294117646
fulltile,full_tile,True,250,E,34,661.0794117647059,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,250,NE,34,713.7705882352941,479.0470588235294,0.0,0.0,1.0,0.0
fulltile,full_tile,True,250,N,34,725.7558823529412,479.0470588235294,0.0,0.0,1.0,0.08823529411764706
fulltile,full_tile,True,250,NW,34,687.4411764705883,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,250,W,34,661.0911764705882,479.0470588235294,0.0,0.0,1.0,0.20588235294117646
