sheet_id,foldA,foldB,foldC,foldC_confirmed_by_foldA,foldC_confirmed_by_foldB,foldA_confirmed_by_foldC
K-34-10-A-g,2,3,11,0.1818,0.2727,1.0
K-34-22-V-b,0,2,5,0.0,0.0,
K-34-23-A-g,4,2,6,0.0,0.0,0.0
K-34-24-G-a,11,11,13,0.6154,0.7692,0.7273
K-34-35-A-v,5,6,7,0.5714,0.7143,0.8
K-34-36-V-b,40,30,41,0.6341,0.6098,0.65
K-34-47-A-a,2,2,9,0.2222,0.2222,1.0
K-34-47-G-g,44,39,42,0.6905,0.7857,0.6591
K-34-47-G-v,957,140,418,0.2536,0.1292,0.1108
K-34-48-G-b,2,1,2,0.0,0.0,0.0
K-34-58-B-a,14,13,24,0.5417,0.4583,0.9286
K-34-60-V-b,32,36,37,0.8649,0.9459,1.0
K-34-70-B-v,6,10,21,0.1905,0.3333,0.6667
K-34-83-V-g,9,6,10,0.6,0.5,0.6667
K-34-84-A-a,11,13,23,0.2609,0.3913,0.5455
K-34-96-B-v,35,50,49,0.6735,0.898,0.9429
K-35-13-G-v,25,23,23,0.8696,0.9565,0.8
K-35-14-B-v,11,7,10,0.9,0.8,0.7273
K-35-16-A-a,10,12,12,0.8333,0.9167,1.0
K-35-16-B-a,10,6,8,0.75,0.75,0.6
K-35-18-A-b,9,9,9,0.8889,1.0,0.8889
K-35-19-V-a,37,38,39,0.9231,0.9487,0.973
K-35-20-B-g,107,105,108,0.9537,0.963,0.9626
K-35-21-G-a,72,74,78,0.9231,0.9487,1.0
K-35-27-B-b,71,74,75,0.9067,0.96,0.9577
K-35-28-A-g,19,28,30,0.6333,0.8667,1.0
K-35-29-G-b,11,13,15,0.7333,0.8,1.0
K-35-31-V-g,20,19,23,0.8261,0.8261,0.95
K-35-32-A-a,47,47,51,0.902,0.9216,0.9787
K-35-38-A-a,73,72,75,0.9467,0.9467,0.9726
K-35-39-A-g,1,2,6,0.1667,0.3333,1.0
K-35-40-B-v,4,6,6,0.6667,0.6667,1.0
K-35-41-G-a,0,0,1,0.0,0.0,
K-35-42-A-g,9,8,13,0.6154,0.6154,0.8889
K-35-43-V-g,35,28,27,0.9259,0.963,0.7143
K-35-44-B-a,24,4,10,0.7,0.4,0.2917
K-35-49-V-g,53,54,55,0.9455,0.9818,0.9811
K-35-5-G-b,5,6,6,0.8333,1.0,1.0
K-35-50-B-b,80,67,68,0.9853,0.9706,0.8375
K-35-50-V-b,63,48,50,0.98,0.96,0.7778
K-35-51-A-b,107,98,100,0.89,0.94,0.8318
K-35-51-B-g,32,19,19,1.0,1.0,0.5938
K-35-52-G-v,61,60,61,0.918,0.9508,0.918
K-35-53-A-g,32,31,34,0.9118,0.9118,0.9688
K-35-55-A-g,40,44,44,0.9091,0.9773,0.975
K-35-62-G-v,37,6,15,0.5333,0.4,0.2162
K-35-63-B-g,89,40,43,0.9767,0.9302,0.4719
K-35-66-A-a,65,48,51,0.8824,0.8824,0.6923
K-35-67-B-v,37,42,44,0.8409,0.9318,1.0
K-35-73-A-v,2,0,4,0.0,0.0,0.0
K-35-75-B-a,19,14,23,0.7826,0.6087,0.9474
K-35-77-A-g,49,50,53,0.9057,0.9245,0.9796
K-35-8-V-g,39,39,40,0.975,0.975,1.0
K-35-86-A-b,2,4,4,0.25,0.25,0.5
K-35-87-G-a,11,2,7,0.1429,0.2857,0.0909
K-35-88-G-g,1,2,4,0.25,0.5,1.0
