sheet_id,source,width,height,megapixels,crs,windows_planned,windows_swept,windows_dropped_transparent,raw_candidates,merged_candidates,candidates_at_0_05,per_window_at_0_05,per_megapixel_at_0_05,candidates_at_0_10,per_window_at_0_10,per_megapixel_at_0_10,candidates_at_0_25,per_window_at_0_25,per_megapixel_at_0_25,score_median,score_p90,score_max,weights
K-34-10-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-10-A-g_clipped.tif,4971,4618,22.956,EPSG:25835,156,156,0,8,6,6,0.0385,0.2614,5,0.0321,0.2178,2,0.0128,0.0871,0.1652,0.7386,0.8006,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-34-36-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-36-V-b_clipped.tif,4916,4506,22.151,EPSG:25835,156,156,0,155,67,67,0.4295,3.0246,56,0.359,2.528,40,0.2564,1.8057,0.4542,0.8241,0.8488,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-34-60-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-60-V-b_clipped.tif,5051,4584,23.154,EPSG:25835,156,156,0,76,39,39,0.25,1.6844,37,0.2372,1.598,32,0.2051,1.3821,0.8015,0.8307,0.8623,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-34-70-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-70-B-v_clipped.tif,5075,4598,23.335,EPSG:25835,156,156,0,21,14,14,0.0897,0.6,8,0.0513,0.3428,6,0.0385,0.2571,0.1222,0.8081,0.8223,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-34-83-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-83-V-g_clipped.tif,5087,4571,23.253,EPSG:25835,156,156,0,37,13,13,0.0833,0.5591,11,0.0705,0.4731,9,0.0577,0.3871,0.5583,0.7992,0.8092,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-34-96-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-96-B-v_clipped.tif,5112,4575,23.387,EPSG:25835,156,156,0,85,44,44,0.2821,1.8814,41,0.2628,1.7531,35,0.2244,1.4965,0.7736,0.8258,0.8421,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-35-14-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-14-B-v_clipped.tif,4904,4515,22.142,EPSG:25835,156,156,0,42,17,17,0.109,0.7678,14,0.0897,0.6323,11,0.0705,0.4968,0.313,0.7934,0.8388,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-35-21-G-a,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-21-G-a_clipped.tif,4864,4463,21.708,EPSG:25835,156,156,0,168,78,78,0.5,3.5931,73,0.4679,3.3628,72,0.4615,3.3167,0.8111,0.8368,0.8586,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-35-28-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-28-A-g_clipped.tif,4776,4365,20.847,EPSG:25835,156,156,0,45,27,27,0.1731,1.2951,25,0.1603,1.1992,19,0.1218,0.9114,0.5432,0.8292,0.8519,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
K-35-31-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-31-V-g_clipped.tif,4805,4369,20.993,EPSG:25835,156,156,0,39,20,20,0.1282,0.9527,20,0.1282,0.9527,20,0.1282,0.9527,0.8158,0.8403,0.8526,artifacts/detection/v0_5_yolo26s_gtfix/foldA/weights/last.pt
