sheet_id,source,width,height,megapixels,crs,windows_planned,windows_swept,windows_dropped_transparent,raw_candidates,merged_candidates,candidates_at_0_05,per_window_at_0_05,per_megapixel_at_0_05,candidates_at_0_10,per_window_at_0_10,per_megapixel_at_0_10,candidates_at_0_25,per_window_at_0_25,per_megapixel_at_0_25,score_median,score_p90,score_max,weights
K-34-10-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-10-A-g_clipped.tif,4971,4618,22.956,EPSG:25835,156,156,0,27,19,19,0.1218,0.8277,11,0.0705,0.4792,3,0.0192,0.1307,0.1053,0.3181,0.505,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-34-36-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-36-V-b_clipped.tif,4916,4506,22.151,EPSG:25835,156,156,0,84,50,50,0.3205,2.2572,40,0.2564,1.8057,30,0.1923,1.3543,0.4248,0.8451,0.8763,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-34-60-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-60-V-b_clipped.tif,5051,4584,23.154,EPSG:25835,156,156,0,76,37,37,0.2372,1.598,37,0.2372,1.598,36,0.2308,1.5548,0.8418,0.8691,0.887,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-34-70-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-70-B-v_clipped.tif,5075,4598,23.335,EPSG:25835,156,156,0,62,43,43,0.2756,1.8427,21,0.1346,0.8999,10,0.0641,0.4285,0.0997,0.5621,0.8808,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-34-83-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-83-V-g_clipped.tif,5087,4571,23.253,EPSG:25835,156,156,0,31,14,14,0.0897,0.6021,11,0.0705,0.4731,6,0.0385,0.258,0.2196,0.8559,0.8727,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-34-96-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-96-B-v_clipped.tif,5112,4575,23.387,EPSG:25835,156,156,0,109,58,58,0.3718,2.48,55,0.3526,2.3517,50,0.3205,2.1379,0.8031,0.8583,0.8754,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-35-14-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-14-B-v_clipped.tif,4904,4515,22.142,EPSG:25835,156,156,0,34,13,13,0.0833,0.5871,11,0.0705,0.4968,7,0.0449,0.3161,0.5574,0.8291,0.859,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-35-21-G-a,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-21-G-a_clipped.tif,4864,4463,21.708,EPSG:25835,156,156,0,155,76,76,0.4872,3.501,75,0.4808,3.4549,74,0.4744,3.4089,0.8372,0.8619,0.8712,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-35-28-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-28-A-g_clipped.tif,4776,4365,20.847,EPSG:25835,156,156,0,63,36,36,0.2308,1.7268,30,0.1923,1.439,28,0.1795,1.3431,0.809,0.8622,0.8715,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
K-35-31-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-31-V-g_clipped.tif,4805,4369,20.993,EPSG:25835,156,156,0,43,26,26,0.1667,1.2385,21,0.1346,1.0003,19,0.1218,0.9051,0.8313,0.8688,0.8718,artifacts/detection/v0_5_yolo26s_gtfix/foldB/weights/last.pt
