sheet_id,source,width,height,megapixels,crs,windows_planned,windows_swept,windows_dropped_transparent,raw_candidates,merged_candidates,candidates_at_0_05,per_window_at_0_05,per_megapixel_at_0_05,candidates_at_0_10,per_window_at_0_10,per_megapixel_at_0_10,candidates_at_0_25,per_window_at_0_25,per_megapixel_at_0_25,score_median,score_p90,score_max,weights
K-34-10-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-10-A-g_clipped.tif,4971,4618,22.956,EPSG:25835,156,156,0,45,32,32,0.2051,1.394,19,0.1218,0.8277,11,0.0705,0.4792,0.1162,0.742,0.878,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-34-36-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-36-V-b_clipped.tif,4916,4506,22.151,EPSG:25835,156,156,0,140,87,87,0.5577,3.9275,70,0.4487,3.1601,41,0.2628,1.8509,0.207,0.8381,0.8849,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-34-60-V-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-60-V-b_clipped.tif,5051,4584,23.154,EPSG:25835,156,156,0,96,54,54,0.3462,2.3322,43,0.2756,1.8571,37,0.2372,1.598,0.8101,0.8621,0.8842,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-34-70-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-70-B-v_clipped.tif,5075,4598,23.335,EPSG:25835,156,156,0,107,71,71,0.4551,3.0427,39,0.25,1.6713,21,0.1346,0.8999,0.1193,0.6372,0.8907,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-34-83-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-83-V-g_clipped.tif,5087,4571,23.253,EPSG:25835,156,156,0,57,32,32,0.2051,1.3762,21,0.1346,0.9031,10,0.0641,0.4301,0.127,0.8229,0.8783,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-34-96-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-34-96-B-v_clipped.tif,5112,4575,23.387,EPSG:25835,156,156,0,122,66,66,0.4231,2.822,53,0.3397,2.2662,49,0.3141,2.0951,0.8112,0.8554,0.8968,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-14-B-v,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-14-B-v_clipped.tif,4904,4515,22.142,EPSG:25835,156,156,0,42,21,21,0.1346,0.9484,17,0.109,0.7678,10,0.0641,0.4516,0.2156,0.8572,0.8651,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-21-G-a,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-21-G-a_clipped.tif,4864,4463,21.708,EPSG:25835,156,156,0,173,83,83,0.5321,3.8235,80,0.5128,3.6853,78,0.5,3.5931,0.8382,0.8704,0.8984,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-28-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-28-A-g_clipped.tif,4776,4365,20.847,EPSG:25835,156,156,0,80,49,49,0.3141,2.3504,41,0.2628,1.9667,30,0.1923,1.439,0.6493,0.8695,0.8926,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-31-V-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-31-V-g_clipped.tif,4805,4369,20.993,EPSG:25835,156,156,0,60,36,36,0.2308,1.7149,29,0.1859,1.3814,23,0.1474,1.0956,0.7607,0.8702,0.8816,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-42-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-42-A-g_clipped.tif,4831,4383,21.174,EPSG:25835,156,156,0,44,21,21,0.1346,0.9918,16,0.1026,0.7556,13,0.0833,0.614,0.4802,0.8102,0.8446,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-5-G-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-5-G-b_clipped.tif,4791,4415,21.152,EPSG:25835,156,156,0,17,9,9,0.0577,0.4255,7,0.0449,0.3309,6,0.0385,0.2837,0.7713,0.8741,0.884,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-50-B-b,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-50-B-b_clipped.tif,4942,4484,22.16,EPSG:25835,156,156,0,155,79,79,0.5064,3.565,72,0.4615,3.2491,68,0.4359,3.0686,0.8383,0.8685,0.8944,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-51-B-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-51-B-g_clipped.tif,4935,4466,22.04,EPSG:25835,156,156,0,60,26,26,0.1667,1.1797,23,0.1474,1.0436,19,0.1218,0.8621,0.8391,0.8679,0.8832,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-53-A-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-53-A-g_clipped.tif,4887,4415,21.576,EPSG:25835,156,156,0,79,42,42,0.2692,1.9466,37,0.2372,1.7149,34,0.2179,1.5758,0.8524,0.8697,0.8939,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
K-35-63-B-g,/mnt/c/Users/lubom/ai_archaeo_topia/data_lake/raw/mound_test_20260915/01_maps_test/K-35-63-B-g_clipped.tif,4965,4471,22.199,EPSG:25835,156,156,0,108,58,58,0.3718,2.6128,46,0.2949,2.0722,43,0.2756,1.9371,0.848,0.8747,0.8944,artifacts/detection/v0_5_yolo26s_gtfix/foldC/weights/last.pt
